ID,Family name,Title,Personal name,Age,Department/Class,Passenger/Crew,Citizenship,Position,Status,City,Adult/Minor,Sex
0,CAMERON,Mr.,Charles W.,38,Band,Crew,British,,,,Adult,Male
1,CARR-JONES,Mr.,E.,37,Band,Crew,British,,,,Adult,Male
2,DRAKEFORD,Mr.,Edward,30,Band,Crew,British,Violin,,,Adult,Male
3,HAWKINS,Mr.,Handel,25,Band,Crew,British,Cello,,,Adult,Male
4,HEMINGWAY,Mr.,John William,27,Band,Crew,British,Double Bass,,,Adult,Male
5,ANDERSON,Mr.,James Clarke,48,Deck,Crew,British,Staff Captain,,Liverpool,Adult,Male
6,ANDERSON,Mr.,John,,Deck,Crew,Norwegian,Able-Bodied Seaman,,,Adult,Male
7,BATTLE,Mr.,James,,Deck,Crew,British,Able-Bodied Seaman,,Sligo,Adult,Male
8,BESTIC,Mr.,Albert Arthur,24,Deck,Crew,British,Junior Third Officer,Single,Dublin,Adult,Male
9,BOWDEN,Mr.,Joseph ,19,Deck,Crew,British,Able-Bodied Seaman,,,Adult,Male
10,BROWN,Mr.,John Manson George,57,Deck,Crew,British,Joiner,,,Adult,Male
11,CANNON,Mr.,Robert Henry,50,Deck,Crew,British,Inspector,,,Adult,Male
12,CLINTON,Mr.,George,,Deck,Crew,British,Able-Bodied Seaman,,,Adult,Male
13,CLYDE,Mr.,Neil,,Deck,Crew,British,Able-Bodied Seaman,,,Adult,Male
14,CRANK,Mr.,John,,Deck,Crew,British,Baggage Master,,,Adult,Male
15,CUNNINGHAM,Mr.,Edward,,Deck,Crew,British,Able-Bodied Seaman,,,Adult,Male
16,DAVIES,Mr.,John,,Deck,Crew,British,Boatswain,,,Adult,Male
17,EGAN,Mr.,William,,Deck,Crew,British,Boatswain's Mate,,,Adult,Male
18,ELLIOT,Mr.,Arthur Graham,,Deck,Crew,British,Able-Bodied Seaman,,,Adult,Male
19,ELLIOT,Mr.,Fred,,Deck,Crew,British,Able-Bodied Seaman,,,Adult,Male
20,EVANS,Mr.,Thomas William,,Deck,Crew,British,Able-Bodied Seaman,,,Adult,Male
21,FAYLE,Mr.,Edward,,Deck,Crew,British,Able-Bodied Seaman,,,Adult,Male
22,FLEMMING,Mr.,Herbert,,Deck,Crew,British,Able-Bodied Seaman,,,Adult,Male
23,GARRY,Dr.,Joseph,25,Deck,Crew,British,Assistant Surgeon,,Kildysart,Adult,Male
24,GUNN,Mr.,C.,,Deck,Crew,British,Able-Bodied Seaman,,,Adult,Male
25,HARMAN,Mr.,John,56,Deck,Crew,British,Able-Bodied Seaman,,Liverpool,Adult,Male
26,HEFFORD,Mr.,Percy,,Deck,Crew,British,Second Officer,,,Adult,Male
27,HEIGHWAY,Mr.,Edward John,41,Deck,Crew,British,Able-Bodied Seaman,,Strangford,Adult,Male
28,HENNESEY,Mr.,Frank,,Deck,Crew,British,Able-Bodied Seaman,,,Adult,Male
29,HERMAN,Mr.,Albert,,Deck,Crew,British,Able-Bodied Seaman,,,Adult,Male
30,HEYES,Mr.,J.,,Deck,Crew,British,Able-Bodied Seaman,,,Adult,Male
31,HUGHES,Mr.,John Edward,,Deck,Crew,British,Hospital Attendant,,,Adult,Male
32,HUME,Mr.,James,19,Deck,Crew,British,Able-Bodied Seaman,,Belfast,Adult,Male
33,JOHNSTON,Mr.,Hugh Robert,,Deck,Crew,British,Able-Bodied Seaman,,,Adult,Male
34,JONES,Mr.,Arthur Rowland,33,Deck,Crew,British,First Officer,,,Adult,Male
35,JONES,Mr.,William,,Deck,Crew,British,Able-Bodied Seaman,,,Adult,Male
36,KNIGHT,Mr.,C. T.,,Deck,Crew,British,Able-Bodied Seaman,,,Adult,Male
37,LEDENE,Mr.,Thomas,50,Deck,Crew,British,Able-Bodied Seaman,Widower,,Adult,Male
38,LEWIS,Mr.,John Idwal,29,Deck,Crew,British,Senior Third Officer,,,Adult,Male
39,LOCKETT,Mr.,H.,,Deck,Crew,British,Able-Bodied Seaman,,,Adult,Male
40,MALONE,Mr.,F.,,Deck,Crew,British,Able-Bodied Seaman,,,Adult,Male
41,McDERMOTT,Dr.,James Farrell,38,Deck,Crew,British,Surgeon,,Liverpool,Adult,Male
42,McGLADE,Mr.,George,,Deck,Crew,British,Seaman,,,Adult,Male
43,McLEOD,Mr.,Victor,,Deck,Crew,British,O Seaman,,,Adult,Male
44,McNALLY,Mr.,Peter,,Deck,Crew,British,Seaman,,,Adult,Male
45,MOORE,Mr.,Daniel,,Deck,Crew,British,Seaman,,,Adult,Male
46,MORTON,Mr.,Leslie Noel (brother of John),18,Deck,Crew,British,Able-Bodied Seaman,Single,,Adult,Male
47,MORTON,Mr.,John Clifford (brother of Leslie),20,Deck,Crew,British,Able-Bodied Seaman,Single,,Adult,Male
48,O'MAHONEY,Mr.,Thomas,21,Deck,Crew,British,Able-Bodied Seaman,,,Adult,Male
49,O'NEILL,Mr.,F. H.,,Deck,Crew,British,Able-Bodied Seaman,,,Adult,Male
50,OWENS,Mr.,Owen,,Deck,Crew,British,Able-Bodied Seaman,,,Adult,Male
51,PARRY,Mr.,Joseph,26,Deck,Crew,British,Able-Bodied Seaman,,,Adult,Male
52,PIPER,Mr.,John P.,,Deck,Crew,British,Chief Officer,,,Adult,Male
53,QUINN,Mr.,"Thomas John (father of Thomas Quinn, bo'sun's boy)",,Deck,Crew,British,Able-Bodied Seaman,Married,,Adult,Male
54,QUINN,Master,"Thomas (son of Thomas Quinn, AB seaman)",17,Deck,Crew,British,Boatswain's Boy,Single,,Minor,Male
55,QUIRK,Mr.,William Eduard,33,Deck,Crew,British,Able-Bodied Seaman,,,Adult,Male
56,REID,Mr.,James,,Deck,Crew,British,Seaman,,,Adult,Male
57,ROBB,Mr.,Joseph,27,Deck,Crew,British,Able-Bodied Seaman,,,Adult,Male
58,ROBERTS,Mr.,Charles A.,25,Deck,Crew,British,Able-Bodied Seaman,,,Adult,Male
59,ROBERTSON,Mr.,Neil,,Deck,Crew,British,Carpenter,,,Adult,Male
60,ROBINS,Mr.,T. (Edward Kyle),,Deck,Crew,British,Able-Bodied Seaman,,,Adult,Male
61,ROPER,Mr.,John,,Deck,Crew,British,Able-Bodied Seaman,,,Adult,Male
62,SEAGRAVES,Mr.,Patrick,,Deck,Crew,British,Able-Bodied Seaman,,,Adult,Male
63,SIKKING,Mr.,James,24,Deck,Crew,British,Able-Bodied Seaman,,,Adult,Male
64,SIKKING,Mr.,Florence,,Deck,Crew,British,Boatswain's Mate,,,Adult,Male
65,SMITH,Mr.,Peter,,Deck,Crew,British,Master-at-Arms,,,Adult,Male
66,STEVENS,Mr.,John,,Deck,Crew,British,Chief Officer,,,Adult,Male
67,THOMPSON,Mr.,John,,Deck,Crew,British,O Seaman,,,Adult,Male
68,THOMPSON,Mr.,Leo Henry,,Deck,Crew,British,Able-Bodied Seaman,,,Adult,Male
69,TODD,Mr.,James,,Deck,Crew,British,Able-Bodied Seaman,,,Adult,Male
70,TURNER,Captain,William Thomas,58,Deck,Crew,British,Captain,Separated,Liverpool,Adult,Male
71,WILLIAMS,Mr.,William,,Deck,Crew,British,Master-at-Arms,,,Adult,Male
72,YETTS,Mr.,William R.,,Deck,Crew,British,Able-Bodied Seaman,,,Adult,Male
73,YETTS,Mr.,William R.,,Deck,Crew,British,Able-Bodied Seaman,,,Adult,Male
74,ANDERSON,Mr.,William Affleck,,Engineering,Crew,British,Senior 5th Engineer,,,Adult,Male
75,ASHE,Mr.,John,,Engineering,Crew,British,Trimmer,,,Adult,Male
76,BARRETT,Mr.,Daniel,18,Engineering,Crew,British,Fireman,,Liverpool,Adult,Male
77,BARRY,Mr.,W.,26,Engineering,Crew,British,Fireman,,,Adult,Male
78,BATT,Mr.,George,,Engineering,Crew,British,Trimmer,,,Adult,Male
79,BEATTIE,Mr.,James,,Engineering,Crew,British,Fireman,,,Adult,Male
80,BEGGS,Mr.,John,,Engineering,Crew,British,Senior 6th Engineer,,,Adult,Male
81,BOWEN,Mr.,Henry,,Engineering,Crew,British,Fireman,,,Adult,Male
82,BRADLEY,Mr.,Thomas,,Engineering,Crew,British,Trimmer,,,Adult,Male
83,BREEN,Mr.,James,,Engineering,Crew,British,Leading Fireman,,,Adult,Male
84,BRENNAN,Mr.,Patrick,47,Engineering,Crew,British,Greaser,,Liverpool,Adult,Male
85,BRENNAN,Mr.,John,,Engineering,Crew,British,Trimmer,,,Adult,Male
86,BRENNAN,Mr.,Thomas,,Engineering,Crew,British,Trimmer,,,Adult,Male
87,BRIDGE,Mr.,William,,Engineering,Crew,British,Fireman,,,Adult,Male
88,BROWN,Mr.,Patrick,24,Engineering,Crew,British,Trimmer,,Kilboyne,Adult,Male
89,BROWN,Mr., John,,Engineering,Crew,British,Fireman,,,Adult,Male
90,BROWN,Mr.,James,,Engineering,Crew,British,Fireman,,,Adult,Male
91,BRYCE,Mr.,Archie,54,Engineering,Crew,British,Chief Engineer,,,Adult,Male
92,BURKE,Mr.,James,,Engineering,Crew,British,Trimmer,,,Adult,Male
93,BURNS,Mr.,John James,,Engineering,Crew,British,Leading Fireman,,,Adult,Male
94,BURNS,Mr.,Joseph,,Engineering,Crew,British,Fireman,,,Adult,Male
95,BURNS,Mr.,Peter,,Engineering,Crew,British,Trimmer,,,Adult,Male
96,BUTLER,Mr.,Joseph,,Engineering,Crew,British,Fireman,,,Adult,Male
97,CAIN,Mr.,Thomas,54,Engineering,Crew,British,Fireman,,,Adult,Male
98,CAMPBELL,Mr.,Patrick,35,Engineering,Crew,British,Fireman,,Newry,Adult,Male
99,CAMPBELL,Mr.,Charles,,Engineering,Crew,British,Trimmer,,,Adult,Male
100,CARRIBINE,Mr.,Bernard,43,Engineering,Crew,British,Fireman,,,Adult,Male
101,CARROLL,Mr.,Thomas,,Engineering,Crew,British,Leading Fireman,,,Adult,Male
102,CASEY,Mr.,Patrick,48,Engineering,Crew,British,Fireman,,,Adult,Male
103,CASEY,Mr.,James,,Engineering,Crew,British,Fireman,,,Adult,Male
104,CASEY,Mr.,Joseph,,Engineering,Crew,British,Fireman,,,Adult,Male
105,CASSIDY,Mr.,Bernard,59,Engineering,Crew,British,Fireman,,Liverpool,Adult,Male
106,CHADWICK,Mr.,Jacob,,Engineering,Crew,British,Fireman,,,Adult,Male
107,CHESTER,Mr.,Michael,,Engineering,Crew,British,Fireman,,,Adult,Male
108,COADY,Mr., James,53,Engineering,Crew,British,Fireman,,,Adult,Male
109,COCKBURN,Mr.,Andrew,44,Engineering,Crew,British,Senior 2nd Engineer,,,Adult,Male
110,COLE,Mr.,William Henry,,Engineering,Crew,British,Second Intermediate 3rd Engineer,,,Adult,Male
111,COLLINS,Mr.,Patrick,35,Engineering,Crew,British,Fireman,,,Adult,Male
